연,월,도,시군구,월별 수요량
2022,02,전북,고창군,28415
2022,02,전북,군산시,21758
2022,02,전북,김제시,21807
2022,02,전북,남원시,30132
2022,02,전북,무주군,13715
2022,02,전북,부안군,13398
2022,02,전북,순창군,15699
2022,02,전북,완주군,55406
2022,02,전북,익산시,19370
2022,02,전북,임실군,18824
2022,02,전북,장수군,8944
2022,02,전북,전주시,112583
2022,02,전북,정읍시,23366
2022,02,전북,진안군,8404
2022,02,제주,서귀포시,298074
2022,02,제주,제주시,466280
2022,02,충남,계룡시,14264
2022,02,충남,공주시,63545
2022,02,충남,금산군,13783
2022,02,충남,논산시,38691
2022,02,충남,당진시,30516
2022,02,충남,보령시,24855
2022,02,충남,부여군,19047
2022,02,충남,서산시,15407
2022,02,충남,서천군,20562
2022,02,충남,아산시,54636
2022,02,충남,예산군,36003
2022,02,충남,천안시,135431
2022,02,충남,청양군,3242
2022,02,충남,태안군,13933
2022,02,충남,홍성군,28087
2022,02,충북,괴산군,27345
2022,02,충북,단양군,24217
2022,02,충북,보은군,17449
2022,02,충북,영동군,21044
2022,02,충북,옥천군,36608
2022,02,충북,음성군,23385
2022,02,충북,제천시,11853
2022,02,충북,증평군,3055
2022,02,충북,진천군,15868
2022,02,충북,청주시,155039
2022,02,충북,충주시,63131
2022,03,강원,강릉시,25892
2022,03,강원,고성군,6130
2022,03,강원,동해시,18566
2022,03,강원,삼척시,12418
2022,03,강원,속초시,22935
2022,03,강원,양구군,11350
2022,03,강원,양양군,13942
2022,03,강원,영월군,4172
2022,03,강원,원주시,65044
2022,03,강원,인제군,29214
2022,03,강원,정선군,10069
2022,03,강원,철원군,11177
2022,03,강원,춘천시,44230
2022,03,강원,태백시,5609
2022,03,강원,평창군,29185
2022,03,강원,홍천군,31999
2022,03,강원,화천군,5370
2022,03,강원,횡성군,23359
2022,03,경기,가평군,34386
2022,03,경기,고양시,38442
2022,03,경기,과천시,8528
2022,03,경기,광명시,44998
2022,03,경기,광주시,19261
2022,03,경기,구리시,12420
2022,03,경기,군포시,6176
2022,03,경기,김포시,20578
2022,03,경기,남양주시,42332
2022,03,경기,동두천시,2095
2022,03,경기,부천시,46110
2022,03,경기,성남시,52938
2022,03,경기,수원시,32880
2022,03,경기,시흥시,32571
2022,03,경기,안산시,77273
2022,03,경기,안성시,42045
2022,03,경기,안양시,13724
2022,03,경기,양주시,34203
2022,03,경기,양평군,15823
2022,03,경기,여주시,41862
2022,03,경기,연천군,1161
2022,03,경기,오산시,13830
2022,03,경기,용인시,15570
2022,03,경기,의왕시,6780
2022,03,경기,의정부시,5247
2022,03,경기,이천시,24687
2022,03,경기,파주시,14029
2022,03,경기,평택시,36434
2022,03,경기,포천시,16640
2022,03,경기,하남시,76179
2022,03,경기,화성시,32065
2022,03,경남,거제시,22968
2022,03,경남,거창군,21506
2022,03,경남,고성군,11510
2022,03,경남,김해시,72829
2022,03,경남,남해군,10426
2022,03,경남,밀양시,12256
2022,03,경남,사천시,26366
2022,03,경남,산청군,12502
2022,03,경남,양산시,63381
2022,03,경남,의령군,3551
2022,03,경남,진주시,40618
2022,03,경남,창녕군,14776
2022,03,경남,창원시,66462
2022,03,경남,통영시,11418
2022,03,경남,하동군,6259
2022,03,경남,함안군,27522
2022,03,경남,함양군,17151
2022,03,경남,합천군,3938
2022,03,경북,경산시,48554
2022,03,경북,경주시,89158
2022,03,경북,고령군,15493
2022,03,경북,구미시,88046
2022,03,경북,군위군,43329
2022,03,경북,김천시,37556
2022,03,경북,문경시,44314
2022,03,경북,봉화군,10846
2022,03,경북,상주시,20759
2022,03,경북,성주군,34832
2022,03,경북,안동시,36870
2022,03,경북,영덕군,13542
2022,03,경북,영양군,5564
2022,03,경북,영주시,13187
2022,03,경북,영천시,41849
2022,03,경북,예천군,12547
2022,03,경북,울릉군,0
2022,03,경북,울진군,15265
2022,03,경북,의성군,28633
2022,03,경북,청도군,24772
2022,03,경북,청송군,19606
2022,03,경북,칠곡군,70074
2022,03,경북,포항시,73004
2022,03,광주,광산구,37045
2022,03,광주,남구,106677
2022,03,광주,동구,11803
2022,03,광주,북구,22085
2022,03,광주,서구,25341
2022,03,대구,남구,13969
2022,03,대구,달서구,57695
2022,03,대구,달성군,70031
2022,03,대구,동구,17230
2022,03,대구,북구,76503
2022,03,대구,서구,2442
2022,03,대구,수성구,236418
2022,03,대구,중구,4028
2022,03,대전,대덕구,31739
2022,03,대전,동구,15100
2022,03,대전,서구,73778
2022,03,대전,유성구,51458
2022,03,대전,중구,22936
2022,03,부산,강서구,8387
2022,03,부산,금정구,8207
2022,03,부산,기장군,45641
2022,03,부산,남구,1613
2022,03,부산,동래구,6582
2022,03,부산,부산진구,174948
2022,03,부산,북구,8365
2022,03,부산,사상구,10180
2022,03,부산,사하구,6726
2022,03,부산,수영구,8146
2022,03,부산,연제구,10371
2022,03,부산,영도구,2722
2022,03,부산,중구,7520
2022,03,부산,해운대구,8450
2022,03,서울,강남구,36400
2022,03,서울,강동구,8290
2022,03,서울,강북구,4313
2022,03,서울,강서구,14854
2022,03,서울,관악구,30253
2022,03,서울,광진구,8558
2022,03,서울,구로구,5691
2022,03,서울,금천구,11655
2022,03,서울,노원구,22977
2022,03,서울,도봉구,13465
2022,03,서울,동대문구,7031
2022,03,서울,동작구,5817
2022,03,서울,마포구,36034
2022,03,서울,서대문구,8296
2022,03,서울,서초구,23760
2022,03,서울,성동구,44540
2022,03,서울,성북구,6697
2022,03,서울,송파구,21954
2022,03,서울,양천구,34811
2022,03,서울,영등포구,40744
2022,03,서울,용산구,7213
2022,03,서울,은평구,17885
2022,03,서울,종로구,14590
2022,03,서울,중구,6285
2022,03,서울,중랑구,13273
2022,03,세종,세종시,36368
2022,03,울산,남구,45392
